initial_state,first_control
"[0.2713084004436082, 0.20565647243615304, -0.0749335759785836, 0.060968527422127994]",1.0000000090959473
[ 0.29187405  0.36368378 -0.06883672  0.27255329],0.9055581457179053
[ 0.32824243  0.50329515 -0.04158139  0.45302574],0.12884024979358602
[0.37857194 0.50644363 0.00372118 0.35903748],-0.2795752422469569
[0.4292163  0.44739425 0.03962493 0.22050277],-0.48406768166264347
[0.47395573 0.36183991 0.0616752  0.10364761],-0.5699463293355702
[0.51013972 0.26812396 0.07203996 0.02040191],-0.5855155074911901
[ 0.53695212  0.17605367  0.07408016 -0.03333806],-0.559934754423441
[ 0.55455748  0.09085498  0.07074635 -0.0648981 ],-0.5114857998496608
[ 0.56364298  0.0151238   0.06425654 -0.08095218],-0.45180719290116944
"[-0.18806591262641048, 0.2766232168831483, -0.05057823995953109, -0.08207124208738262]",1.0000000087356022
[-0.16040359  0.43986911 -0.05878536  0.20222934],0.8048214619154448
[-0.11641668  0.56246671 -0.03856243  0.36478261],0.1763063651750366
[-0.06017001  0.57397457 -0.00208417  0.29909387],-0.1623833372759426
[-0.00277255  0.53344985  0.02782522  0.19265971],-0.34017689624160563
[0.05057243 0.46933458 0.04709119 0.10050792],-0.4235867877987493
[0.09750589 0.39637209 0.05714198 0.03343039],-0.4501628928552202
[ 0.1371431   0.32259255  0.06048502 -0.01106847],-0.44259548098968193
[ 0.16940236  0.25242516  0.05937817 -0.03834595],-0.4151836764139565
[ 0.19464487  0.18822241  0.05554358 -0.05342078],-0.3771172137504658
"[0.2683392439063563, 0.11678610835075431, 0.08490683115982332, -0.2804634470766424]",-0.21524284744564842
[ 0.28001785  0.09822505  0.05686049 -0.11887013],-0.27004465499844876
[ 0.28984036  0.06254204  0.04497347 -0.0687993 ],-0.27095604987064453
[ 0.29609456  0.02416538  0.03809354 -0.0545853 ],-0.2495763618012832
[ 0.2985111  -0.01146501  0.03263501 -0.05035896],-0.21950592623952994
[ 0.2973646  -0.04243919  0.02759912 -0.0478622 ],-0.18699054961466588
[ 0.29312068 -0.06828443  0.0228129  -0.04487755],-0.15506057860708392
[ 0.28629224 -0.08913378  0.01832514 -0.04112597],-0.12521787912412163
[ 0.27737886 -0.10537785  0.01421255 -0.03685297],-0.09817328163051876
[ 0.26684108 -0.11750886  0.01052725 -0.03237029],-0.0741993407270557
"[-0.16078030110196423, 0.045117140059649063, -0.10450314524071562, -0.1817950274155517]",1.00000000999397
[-0.15626859  0.19816232 -0.12268265 -0.05510956],1.000000009990421
[-0.13645236  0.3435627  -0.1281936   0.00792503],1.00000000998453
[-0.10209609  0.48484371 -0.1274011   0.04715963],1.0000000099747692
[-0.05361172  0.62376524 -0.12268514  0.08243713],1.0000000099581996
[ 0.00876481  0.76141897 -0.11444142  0.12609902],1.0000000099719386
[ 0.08490671  0.89877096 -0.10183152  0.18920321],1.000000009996027
[ 0.1747838   1.03699376 -0.0829112   0.28537808],1.0000000099618451
[ 0.27848318  1.17775831 -0.05437339  0.43426116],1.0000000088495486
[ 0.39625901  1.32358911 -0.01094728  0.66572605],-0.6692332529184499
"[-0.028353776795196184, -0.24655000952296288, -0.05332337008440691, -0.07479405746694384]",0.7429592881950063
[-0.05300878 -0.12124614 -0.06080278  0.10790033],0.46118760323821695
[-0.06513339 -0.05144813 -0.05001274  0.1334777 ],0.2951809651354963
[-0.0702782  -0.01021628 -0.03666497  0.11405812],0.19060643417658227
[-0.07129983  0.01482135 -0.02525916  0.08684392],0.12189796028363037
[-0.0698177   0.02996088 -0.01657477  0.06282125],0.07570524540096214
[-0.06682161  0.03874837 -0.01029264  0.04419018],0.0443384556194968
[-0.06294677  0.04335266 -0.00587363  0.03048887],0.02301520138643062
[-0.05861151  0.04517778 -0.00282474  0.02066389],0.008603452978844114
[-0.05409373  0.0451646  -0.00075835  0.01371133],-0.001013759804546799
"[0.102533328121577, -0.035886078307891145, -0.010128468020017128, -0.17375581293433626]",0.6927487241610597
[ 0.09894472  0.08800143 -0.02750405  0.11121798],0.27185332359561265
[ 0.10774486  0.1284709  -0.01638225  0.14503531],0.049862844602615794
[ 0.12059195  0.13081882 -0.00187872  0.1107744 ],-0.06847136687495305
[0.13367384 0.11548764 0.00919872 0.06783684],-0.12868501333833218
[0.1452226  0.09244965 0.0159824  0.0327654 ],-0.15475954131082906
[0.15446756 0.06690388 0.01925894 0.00804158],-0.16044247440225676
[ 0.16115795  0.0416657   0.0200631  -0.00788645],-0.15410761666117434
[ 0.16532452  0.01825349  0.01927446 -0.0172788 ],-0.14103688949625476
[ 0.16714987 -0.00256717  0.01754658 -0.02212308],-0.12460681741179146
"[-0.16560572223901576, 0.08341631609790667, -0.05972021337817084, -0.10379274750926074]",1.0000000086186371
[-0.15726409  0.24773493 -0.07009949  0.16079224],0.8653191650200911
[-0.1324906   0.38180358 -0.05402026  0.32431017],0.3040404155417885
[-0.09431024  0.41568969 -0.02158925  0.2767089 ],-0.005696573592020156
[-0.05274127  0.40131769  0.00608164  0.18788577],-0.17587214683251684
[-0.0126095   0.36366578  0.02487022  0.10863811],-0.263780804063761
[0.02375708 0.31573952 0.03573403 0.04972689],-0.30158489164856045
[0.05533103 0.26471664 0.04070672 0.00968611],-0.30868030860141865
[ 0.08180269  0.21466162  0.04167533 -0.01575287],-0.2973124945136894
[ 0.10326885  0.16784318  0.04010004 -0.03072622],-0.27539524074545907
"[0.0774413799018403, -0.2954836495778972, 0.0065967586793871935, -0.28639245477875036]",0.41807285761466007
[ 0.04789301 -0.21233689 -0.02204249 -0.06232201],0.2928340662922294
[ 0.02665933 -0.16112708 -0.02827469  0.0117288 ],0.2239787653371095
[ 0.01054662 -0.12503305 -0.02710181  0.03271469],0.1796799819187335
[-0.00195669 -0.09733594 -0.02383034  0.03557736],0.14751403888360892
[-0.01169028 -0.07511623 -0.0202726   0.03275826],0.12233672443806042
[-0.0192019  -0.05692716 -0.01699678  0.02857629],0.10180427822087895
[-0.02489462 -0.04192631 -0.01413915  0.02444735],0.08469974574369962
[-0.02908725 -0.02954423 -0.01169441  0.02077082],0.07029434880238941
[-0.03204167 -0.01935293 -0.00961733  0.01760537],0.05809457959373475
"[-0.19546340678978052, -0.23094716732493847, -0.03319349200956204, 0.014896858139611557]",0.08136991865771605
[-0.21855812 -0.2208235  -0.03170381 -0.04110823],0.22575469752565905
[-0.24064047 -0.18423673 -0.03581463 -0.02729148],0.2844844814197193
[-0.25906415 -0.1387376  -0.03854378 -0.00125924],0.2979921865567419
[-0.27293791 -0.09234034 -0.0386697   0.02033336],0.2869790256103311
[-0.28217194 -0.04882337 -0.03663636  0.03441565],0.2629410232780489
[-0.28705428 -0.00992501 -0.0331948   0.04193059],0.2326371393931856
[-0.28804678  0.02367609 -0.02900174  0.044631  ],0.20015578160153155
[-0.28567917  0.05188134 -0.02453864  0.04411133],0.1679715979687223
[-0.28049104  0.07491515 -0.02012751  0.04159422],0.13754075614609887
"[-0.28474987291693465, 0.44836048413438234, -0.07334609008466991, -0.16053786038078335]",1.0000000098913464
[-0.23991382  0.60239492 -0.08939988  0.04495396],1.0000000097877801
[-0.17967433  0.74933474 -0.08490448  0.19337831],1.0000000094748318
[-0.10474086  0.89480188 -0.06556665  0.34913443],1.0000000052763045
[-0.01526067  1.04279053 -0.03065321  0.55857102],0.1393248898533123
[0.08901838 1.0409474  0.0252039  0.47887832],-0.4568268753125706
[0.19311312 0.94568803 0.07309173 0.30243251],-0.7555413201295061
[0.28768193 0.81065652 0.10333498 0.14384924],-0.8827509866122848
[0.36874758 0.66303988 0.1177199  0.0278849 ],-0.9085459170862271
[ 0.43505157  0.51726544  0.12050839 -0.04823418],-0.8747633168675382
"[0.08386154007721719, -0.015133949374322886, -0.016923254523514314, -0.08774257018406117]",0.5594560521697128
