initial_state,full_control_sequence
"[0.2713084004436082, 0.20565647243615304, -0.0749335759785836, 0.060968527422127994]","[ 1.00000001  0.90555815  0.12884025 -0.27957524 -0.48406768 -0.56994633
 -0.58551551 -0.55993475 -0.5114858  -0.45180719]"
"[-0.18806591262641048, 0.2766232168831483, -0.05057823995953109, -0.08207124208738262]","[ 1.00000001  0.80482146  0.17630637 -0.16238334 -0.3401769  -0.42358679
 -0.45016289 -0.44259548 -0.41518368 -0.37711721]"
"[0.2683392439063563, 0.11678610835075431, 0.08490683115982332, -0.2804634470766424]","[-0.21524285 -0.27004465 -0.27095605 -0.24957636 -0.21950593 -0.18699055
 -0.15506058 -0.12521788 -0.09817328 -0.07419934]"
"[-0.16078030110196423, 0.045117140059649063, -0.10450314524071562, -0.1817950274155517]","[ 1.00000001  1.00000001  1.00000001  1.00000001  1.00000001  1.00000001
  1.00000001  1.00000001  1.00000001 -0.66923325]"
"[-0.028353776795196184, -0.24655000952296288, -0.05332337008440691, -0.07479405746694384]","[ 0.74295929  0.4611876   0.29518097  0.19060643  0.12189796  0.07570525
  0.04433846  0.0230152   0.00860345 -0.00101376]"
"[0.102533328121577, -0.035886078307891145, -0.010128468020017128, -0.17375581293433626]","[ 0.69274872  0.27185332  0.04986284 -0.06847137 -0.12868501 -0.15475954
 -0.16044247 -0.15410762 -0.14103689 -0.12460682]"
"[-0.16560572223901576, 0.08341631609790667, -0.05972021337817084, -0.10379274750926074]","[ 1.00000001  0.86531917  0.30404042 -0.00569657 -0.17587215 -0.2637808
 -0.30158489 -0.30868031 -0.29731249 -0.27539524]"
"[0.0774413799018403, -0.2954836495778972, 0.0065967586793871935, -0.28639245477875036]","[0.41807286 0.29283407 0.22397877 0.17967998 0.14751404 0.12233672
 0.10180428 0.08469975 0.07029435 0.05809458]"
"[-0.19546340678978052, -0.23094716732493847, -0.03319349200956204, 0.014896858139611557]","[0.08136992 0.2257547  0.28448448 0.29799219 0.28697903 0.26294102
 0.23263714 0.20015578 0.1679716  0.13754076]"
"[-0.28474987291693465, 0.44836048413438234, -0.07334609008466991, -0.16053786038078335]","[ 1.00000001  1.00000001  1.00000001  1.00000001  0.13932489 -0.45682688
 -0.75554132 -0.88275099 -0.90854592 -0.87476332]"
